,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
1630173.0,Precious Achiuwa,Raptors,Forward,207.26,102.06,Nigeria,1999-09-19,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280,"22 years, 7 months, 6 days"
203500.0,Steven Adams,Grizzlies,Center,186.23,120.2,New Zealand,1993-07-20,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171,"28 years, 9 months, 8 days"
1628389.0,Bam Adebayo,Heat,Center,210.31,115.67,USA,1997-07-18,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550,"24 years, 9 months, 9 days"
1630583.0,Santi Aldama,Grizzlies,Forward,186.23,97.52,Spain,2001-01-10,0,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520,"21 years, 3 months, 14 days"
200746.0,LaMarcus Aldridge,Nets,Center,186.23,113.4,USA,1985-07-19,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691,"36 years, 9 months, 11 days"
1629638.0,Nickeil Alexander-Walker,Jazz,Guard,198.12,92.99,Canada,1998-09-02,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480,"23 years, 7 months, 23 days"
1628960.0,Grayson Allen,Bucks,Guard,195.07,89.81,USA,1995-10-08,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695,"26 years, 6 months, 19 days"
1628386.0,Jarrett Allen,Cavaliers,Center,185.93,110.22,USA,1998-04-21,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000,"24 years, 0 months, 5 days"
1630631.0,Jose Alvarado,Pelicans,Guard,182.88,81.19,USA,1998-04-12,0,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,1500000,"24 years, 0 months, 14 days"
203937.0,Kyle Anderson,Grizzlies,Forward,210.31,104.33,USA,1993-09-20,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150,"28 years, 7 months, 6 days"
203507.0,Giannis Antetokounmpo,Bucks,Forward,186.23,109.77,Greece,1994-12-06,8,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970,"27 years, 4 months, 21 days"
203648.0,Thanasis Antetokounmpo,Bucks,Forward,201.17,99.34,Greece,1992-07-18,6,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217,"29 years, 9 months, 10 days"
2546.0,Carmelo Anthony,Lakers,Forward,204.22,107.96,USA,1984-05-29,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691,"37 years, 11 months, 1 days"
1630175.0,Cole Anthony,Magic,Guard,192.02,83.91,USA,2000-05-15,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400,"21 years, 11 months, 11 days"
1628384.0,OG Anunoby,Raptors,Forward,204.22,105.23,United Kingdom,1997-07-17,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429,"24 years, 9 months, 10 days"
1627853.0,Ryan Arcidiacono,Bulls,Guard,192.02,88.45,USA,1994-03-26,4,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,586136,"28 years, 1 months, 2 days"
201571.0,D.J. Augustin,Lakers,Guard,155.75,83.01,USA,1987-11-10,13,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467,"34 years, 5 months, 18 days"
1630166.0,Deni Avdija,Wizards,Forward,210.31,95.25,Israel,2001-01-03,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840,"21 years, 3 months, 21 days"
1629028.0,Deandre Ayton,Suns,Center,186.23,113.4,Bahamas,1998-07-23,3,1,236,30.7,16.3,10.5,1.6,0.7,1.0,12632950,"23 years, 9 months, 4 days"
1628962.0,Udoka Azubuike,Jazz,Center,213.36,122.47,Nigeria,1999-09-17,1,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2075880,"22 years, 7 months, 8 days"
1628963.0,Marvin Bagley,Pistons,Forward,186.23,106.59,USA,1999-03-14,3,2,166,25.1,13.6,7.4,0.9,0.5,0.7,11312114,"23 years, 1 months, 13 days"
1630163.0,LaMelo Ball,Hornets,Guard,204.22,81.65,USA,2001-08-22,1,3,126,30.9,18.3,6.4,7.0,1.6,0.4,8231760,"20 years, 8 months, 3 days"
1628366.0,Lonzo Ball,Bulls,Guard,201.17,86.18,USA,1997-10-27,4,2,252,32.5,11.9,5.7,6.2,1.6,0.6,18604651,"24 years, 5 months, 29 days"
1628964.0,Mo Bamba,Magic,Center,213.36,104.78,USA,1998-05-12,3,6,226,18.6,7.7,6.1,0.9,0.4,1.4,7568742,"23 years, 11 months, 15 days"
1630217.0,Desmond Bane,Grizzlies,Guard,198.12,97.52,USA,1998-06-25,1,30,144,26.3,14.0,3.8,2.3,0.9,0.3,2033160,"23 years, 10 months, 1 days"
1630625.0,Dalano Banton,Raptors,Forward,204.22,92.53,Canada,1999-11-07,0,46,64,10.9,3.2,1.9,1.5,0.4,0.2,925258,"22 years, 5 months, 18 days"
203084.0,Harrison Barnes,Kings,Forward,207.26,102.06,USA,1992-05-30,9,7,747,31.8,14.1,5.1,1.8,0.7,0.2,20284091,"29 years, 10 months, 28 days"
1630567.0,Scottie Barnes,Raptors,Forward,204.22,102.06,USA,2001-08-01,0,4,74,35.4,15.3,7.5,3.5,1.1,0.7,7280520,"20 years, 8 months, 24 days"
1629628.0,RJ Barrett,Knicks,Forward,201.17,97.07,Canada,2000-06-14,2,3,198,33.5,17.5,5.6,2.9,0.8,0.3,8623920,"21 years, 10 months, 11 days"
203115.0,Will Barton,Nuggets,Guard,198.12,82.1,USA,1991-01-06,9,40,623,25.9,11.6,4.3,2.7,0.8,0.4,15384615,"31 years, 3 months, 21 days"
1629646.0,Charles Bassey,76ers,Center,210.31,104.33,Nigeria,2000-10-28,0,53,23,7.3,3.0,2.7,0.3,0.2,0.7,925258,"21 years, 5 months, 27 days"
1628966.0,Keita Bates-Diop,Spurs,Forward,207.26,103.87,USA,1996-01-23,3,48,163,15.0,5.2,3.0,0.6,0.5,0.3,1729217,"26 years, 3 months, 3 days"
201587.0,Nicolas Batum,Clippers,Guard,207.26,104.33,France,1988-12-14,13,25,915,30.6,11.1,5.1,3.5,1.0,0.6,12213507,"33 years, 4 months, 14 days"
203145.0,Kent Bazemore,Lakers,Guard,195.07,88.45,USA,1989-07-01,9,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,2401537,"32 years, 9 months, 27 days"
1629647.0,Darius Bazley,Thunder,Forward,207.26,94.35,USA,2000-06-12,2,23,185,25.8,10.0,5.8,1.3,0.6,0.7,2513040,"21 years, 10 months, 13 days"
203078.0,Bradley Beal,Wizards,Guard,195.07,93.89,USA,1993-06-28,9,3,645,34.8,22.1,4.1,4.2,1.1,0.4,34502130,"28 years, 9 months, 29 days"
1627736.0,Malik Beasley,Timberwolves,Guard,195.07,84.82,USA,1996-11-26,5,19,336,20.9,10.4,2.5,1.2,0.6,0.1,14391964,"25 years, 4 months, 29 days"
202722.0,Davis Bertans,Mavericks,Forward,185.93,102.06,Latvia,1992-11-12,5,42,387,19.1,8.2,2.7,1.0,0.4,0.4,16000000,"29 years, 5 months, 14 days"
201976.0,Patrick Beverley,Timberwolves,Guard,185.93,81.65,USA,1988-07-12,9,42,526,27.4,8.8,4.3,3.5,1.1,0.5,14320988,"33 years, 9 months, 17 days"
1630180.0,Saddiq Bey,Pistons,Forward,204.22,97.52,USA,1999-04-09,1,19,152,30.4,14.3,5.0,2.2,0.8,0.2,2824320,"23 years, 0 months, 17 days"
203920.0,Khem Birch,Raptors,Center,210.31,105.69,Canada,1992-09-28,4,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,6350000,"29 years, 6 months, 29 days"
1629048.0,Goga Bitadze,Pacers,Center,213.36,113.4,Georgia,1999-07-20,2,18,149,11.8,5.0,2.9,0.8,0.3,0.9,3098400,"22 years, 9 months, 7 days"
202687.0,Bismack Biyombo,Suns,Center,207.26,115.67,DRC,1992-08-28,10,7,738,19.9,5.2,6.1,0.6,0.3,1.3,1366392,"29 years, 7 months, 29 days"
202357.0,Nemanja Bjelica,Warriors,Forward,210.31,106.14,Serbia,1988-05-09,6,35,449,20.4,7.6,4.6,1.8,0.6,0.4,2089448,"33 years, 11 months, 20 days"
202339.0,Eric Bledsoe,Trail Blazers,Guard,185.93,97.07,USA,1989-12-09,11,18,756,27.8,13.7,3.9,4.7,1.4,0.5,18125000,"32 years, 4 months, 19 days"
203992.0,Bogdan Bogdanovic,Hawks,Guard,201.17,102.06,Serbia,1992-08-18,4,27,316,28.6,14.2,3.4,3.4,1.0,0.2,18000000,"29 years, 8 months, 9 days"
202711.0,Bojan Bogdanovic,Jazz,Forward,204.22,102.51,Croatia,1989-04-18,7,31,603,29.1,15.0,3.6,1.6,0.6,0.1,18700000,"33 years, 0 months, 10 days"
1629626.0,Bol Bol,Magic,Center,219.46,99.79,Sudan,1999-11-16,2,44,53,6.2,2.7,1.2,0.3,0.1,0.3,2161152,"22 years, 5 months, 9 days"
1630195.0,Leandro Bolmaro,Timberwolves,Forward,201.17,90.72,Argentina,2000-09-11,0,23,35,6.9,1.4,1.2,0.6,0.2,0.0,2353320,"21 years, 7 months, 13 days"
1629067.0,Isaac Bonga,Raptors,Guard,207.26,81.65,Germany,1999-11-08,3,39,143,13.1,3.1,2.2,0.8,0.5,0.3,1729217,"22 years, 5 months, 17 days"
1626164.0,Devin Booker,Suns,Guard,198.12,93.44,USA,1996-10-30,6,13,477,33.7,23.5,3.9,4.7,0.8,0.3,31610000,"25 years, 5 months, 26 days"
1630527.0,Brandon Boston,Clippers,Guard,201.17,85.28,USA,2001-11-28,0,51,51,14.9,6.7,2.2,1.0,0.5,0.3,925258,"20 years, 4 months, 26 days"
1628449.0,Chris Boucher,Raptors,Forward,210.31,90.72,Saint Lucia,1993-01-11,4,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,7009615,"29 years, 3 months, 15 days"
1630547.0,James Bouknight,Hornets,Guard,195.07,86.18,USA,2000-09-18,0,11,31,9.8,4.6,1.7,0.8,0.2,0.0,4154400,"21 years, 7 months, 6 days"
202340.0,Avery Bradley,Lakers,Guard,192.02,81.65,USA,1990-11-26,11,19,660,27.5,11.0,2.8,1.7,1.0,0.2,2641691,"31 years, 5 months, 1 days"
1628396.0,Tony Bradley,Bulls,Center,185.93,112.49,USA,1998-01-08,4,28,167,11.7,4.6,4.3,0.5,0.2,0.6,1789256,"24 years, 3 months, 17 days"
1628969.0,Mikal Bridges,Suns,Forward,201.17,94.8,USA,1996-08-30,3,10,309,31.3,11.3,3.9,2.1,1.3,0.6,5557725,"25 years, 7 months, 26 days"
1628970.0,Miles Bridges,Hornets,Forward,204.22,102.06,USA,1998-03-21,3,12,291,29.1,13.4,5.6,2.3,0.7,0.7,5421493,"24 years, 1 months, 6 days"
1629052.0,Oshae Brissett,Pacers,Forward,204.22,95.25,Canada,1998-06-20,2,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,1701593,"23 years, 10 months, 6 days"
1627763.0,Malcolm Brogdon,Pacers,Guard,198.12,103.87,USA,1992-12-11,5,36,333,30.2,15.5,4.2,4.8,0.9,0.2,21700000,"29 years, 4 months, 16 days"
1629717.0,Armoni Brooks,Raptors,Guard,192.02,88.45,USA,1998-06-05,1,,74,18.4,6.9,2.3,1.2,0.5,0.2,1625991,"23 years, 10 months, 21 days"
1628415.0,Dillon Brooks,Grizzlies,Guard,204.22,102.06,Canada,1996-01-22,4,45,272,28.2,14.5,3.0,2.0,1.0,0.3,12200000,"26 years, 3 months, 4 days"
1628971.0,Bruce Brown,Nets,Guard,195.07,91.63,USA,1996-08-15,3,42,269,23.5,7.6,4.3,2.1,0.9,0.5,4736102,"25 years, 8 months, 11 days"
1627759.0,Jaylen Brown,Celtics,Guard,201.17,101.15,USA,1996-10-24,5,3,403,28.7,16.5,4.9,2.0,0.9,0.4,24830357,"25 years, 6 months, 2 days"
1629650.0,Moses Brown,Cavaliers,Center,219.46,111.13,USA,1999-10-13,2,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,1720779,"22 years, 6 months, 13 days"
1628425.0,Sterling Brown,Mavericks,Guard,198.12,99.34,USA,1995-02-10,4,46,264,16.8,5.4,3.3,1.0,0.5,0.2,3000000,"27 years, 2 months, 15 days"
1630535.0,Greg Brown,Trail Blazers,Forward,204.22,93.44,USA,2001-09-01,0,43,48,13.3,4.7,2.8,0.7,0.5,0.5,925258,"20 years, 7 months, 23 days"
1629718.0,Charlie Brown,76ers,Guard,201.17,90.26,USA,1997-02-02,2,Undrafted,41,9.0,2.2,1.3,0.4,0.4,0.2,0,"25 years, 2 months, 22 days"
1630602.0,Chaundee Brown,Hawks,Forward,198.12,97.52,USA,1998-12-04,0,Undrafted,5,20.7,6.2,3.2,0.8,0.4,0.0,0,"23 years, 4 months, 22 days"
1628972.0,Troy Brown,Bulls,Guard,201.17,97.52,USA,1999-07-28,3,15,221,18.5,6.4,3.8,1.6,0.7,0.1,5170564,"22 years, 8 months, 29 days"
1628973.0,Jalen Brunson,Mavericks,Guard,185.93,86.18,USA,1996-08-31,3,33,277,24.7,11.9,3.0,3.7,0.6,0.0,1802057,"25 years, 7 months, 25 days"
1628418.0,Thomas Bryant,Wizards,Center,185.93,112.49,USA,1997-07-31,4,42,170,20.1,10.2,5.7,1.3,0.4,0.9,8730159,"24 years, 8 months, 26 days"
203493.0,Reggie Bullock,Mavericks,Guard,201.17,92.99,USA,1991-03-16,8,25,434,22.5,7.8,2.5,1.2,0.6,0.1,9536000,"31 years, 1 months, 13 days"
203504.0,Trey Burke,Mavericks,Guard,182.88,83.91,USA,1992-11-12,8,9,498,20.9,9.6,1.8,3.1,0.6,0.1,3333333,"29 years, 5 months, 14 days"
202692.0,Alec Burks,Knicks,Guard,201.17,97.07,USA,1991-07-20,10,12,625,23.0,10.6,3.5,2.0,0.7,0.2,9536000,"30 years, 9 months, 9 days"
1630215.0,Jared Butler,Jazz,Guard,192.02,87.54,USA,2000-08-25,0,40,42,8.6,3.8,1.1,1.5,0.4,0.2,925258,"21 years, 8 months, 0 days"
202710.0,Jimmy Butler,Heat,Forward,204.22,104.33,USA,1989-09-14,10,30,690,33.1,17.7,5.3,4.1,1.6,0.5,36016200,"32 years, 7 months, 13 days"
1629719.0,Devontae Cacok,Spurs,Forward,204.22,108.86,USA,1996-10-08,2,Undrafted,36,6.3,2.5,2.2,0.2,0.4,0.3,364533,"25 years, 6 months, 18 days"
203484.0,Kentavious Caldwell-Pope,Wizards,Guard,198.12,92.53,USA,1993-02-18,8,8,683,29.2,11.6,3.1,1.7,1.1,0.2,13038862,"29 years, 2 months, 8 days"
1630267.0,Facundo Campazzo,Nuggets,Guard,155.45,88.45,Argentina,1991-03-23,1,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,3804150,"31 years, 1 months, 6 days"
1628427.0,Vlatko Cancar,Nuggets,Forward,207.26,107.05,Slovenia,1997-04-10,2,49,70,7.2,2.3,1.3,0.5,0.2,0.1,1782621,"25 years, 0 months, 16 days"
1629962.0,Devin Cannady,Magic,Guard,188.98,83.01,USA,1996-05-21,1,,13,16.8,6.5,0.8,0.8,0.8,0.3,100000,"25 years, 11 months, 6 days"
203991.0,Clint Capela,Hawks,Center,185.93,116.12,Switzerland,1994-05-18,7,25,471,26.8,12.4,10.7,1.0,0.7,1.5,17103448,"27 years, 11 months, 10 days"
1630176.0,Vernon Carey,Wizards,Forward,210.31,122.47,USA,2001-02-25,1,32,26,6.1,2.5,1.5,0.1,0.1,0.2,1517981,"21 years, 1 months, 29 days"
1628975.0,Jevon Carter,Bucks,Guard,185.93,90.72,USA,1995-09-14,3,32,223,14.1,4.4,1.7,1.4,0.6,0.2,4107149,"26 years, 7 months, 12 days"
1628976.0,Wendell Carter,Magic,Center,185.93,122.47,USA,1999-04-16,3,7,203,27.5,12.2,8.9,2.0,0.6,0.9,6920027,"23 years, 0 months, 10 days"
1627936.0,Alex Caruso,Bulls,Guard,198.12,84.37,USA,1994-02-28,4,Undrafted,225,20.6,6.2,2.5,2.7,1.1,0.3,8604651,"28 years, 1 months, 28 days"
1627737.0,Marquese Chriss,Mavericks,Forward,210.31,108.86,USA,1997-07-02,5,8,292,18.3,7.6,4.7,1.0,0.6,0.8,958529,"24 years, 9 months, 24 days"
1630528.0,Josh Christopher,Rockets,Guard,192.02,97.52,USA,2001-12-08,0,24,74,18.0,7.9,2.5,2.0,0.9,0.2,2259240,"20 years, 4 months, 17 days"
1629109.0,Gary Clark,Pelicans,Forward,201.17,102.06,USA,1994-11-16,3,Undrafted,170,13.2,3.1,2.5,0.5,0.3,0.4,377645,"27 years, 5 months, 10 days"
1629634.0,Brandon Clarke,Grizzlies,Forward,207.26,97.52,Canada,1996-09-19,2,21,181,21.9,10.9,5.6,1.4,0.7,0.9,2726880,"25 years, 7 months, 6 days"
203903.0,Jordan Clarkson,Jazz,Guard,195.07,88.0,USA,1992-06-07,7,46,600,27.0,15.4,3.3,2.5,0.9,0.1,12420000,"29 years, 10 months, 20 days"
1629651.0,Nic Claxton,Nets,Forward,186.23,97.52,USA,1999-04-17,2,31,94,18.7,7.3,5.0,0.9,0.5,1.1,1782621,"23 years, 0 months, 9 days"
1629599.0,Amir Coffey,Clippers,Guard,204.22,95.25,USA,1997-06-17,2,Undrafted,131,16.2,6.2,2.0,1.2,0.4,0.1,153488,"24 years, 10 months, 9 days"
1628381.0,John Collins,Hawks,Forward,210.31,102.51,USA,1997-09-23,4,19,293,29.0,16.5,8.3,1.6,0.6,1.0,23000000,"24 years, 7 months, 3 days"
1628380.0,Zach Collins,Spurs,Forward,186.23,113.4,USA,1997-11-19,4,10,182,17.5,6.0,4.2,1.1,0.3,0.7,6984127,"24 years, 5 months, 6 days"
201144.0,Mike Conley,Jazz,Guard,185.93,79.38,USA,1987-10-11,14,4,958,32.0,14.8,3.0,5.6,1.4,0.2,21000000,"34 years, 6 months, 18 days"
1626192.0,Pat Connaughton,Bucks,Guard,198.12,94.8,USA,1993-01-06,6,41,417,18.5,5.9,3.3,1.2,0.5,0.3,5333333,"29 years, 3 months, 20 days"
202326.0,DeMarcus Cousins,Nuggets,Center,185.93,122.47,USA,1990-08-13,11,5,654,29.8,19.6,10.2,3.0,1.3,1.1,1290481,"31 years, 8 months, 15 days"
203496.0,Robert Covington,Clippers,Forward,204.22,94.8,USA,1990-12-14,8,Undrafted,537,29.9,11.6,5.8,1.5,1.6,1.0,12975471,"31 years, 4 months, 14 days"
1628470.0,Torrey Craig,Suns,Forward,204.22,100.24,USA,1990-12-19,4,Undrafted,300,18.7,5.7,3.6,0.9,0.5,0.5,4878049,"31 years, 4 months, 9 days"
203109.0,Jae Crowder,Suns,Forward,201.17,106.59,USA,1990-07-06,9,34,735,25.3,9.6,4.3,1.6,1.0,0.3,9720900,"31 years, 9 months, 22 days"
1629633.0,Jarrett Culver,Grizzlies,Guard,201.17,88.45,USA,1999-02-20,2,6,134,17.5,6.6,2.7,1.2,0.7,0.4,6395160,"23 years, 2 months, 5 days"
1630595.0,Cade Cunningham,Pistons,Guard,201.17,99.79,USA,2001-09-25,0,1,64,32.6,17.4,5.5,5.6,1.2,0.7,10050120,"20 years, 7 months, 0 days"
203552.0,Seth Curry,Nets,Guard,188.98,83.91,USA,1990-08-23,8,Undrafted,377,25.2,11.3,2.2,2.2,0.7,0.1,8186047,"31 years, 8 months, 5 days"
201939.0,Stephen Curry,Warriors,Guard,188.98,83.91,USA,1988-03-14,12,7,826,34.3,24.3,4.6,6.5,1.7,0.2,45780966,"34 years, 1 months, 15 days"
203076.0,Anthony Davis,Lakers,Forward,185.93,114.76,USA,1993-03-11,9,1,604,34.4,23.8,10.2,2.3,1.4,2.3,35361360,"29 years, 1 months, 17 days"
202334.0,Ed Davis,Cavaliers,Center,210.31,98.88,USA,1989-06-05,11,13,722,19.1,5.9,6.4,0.7,0.5,0.8,2641691,"32 years, 10 months, 23 days"
1629056.0,Terence Davis,Kings,Guard,195.07,91.17,USA,1997-05-16,2,Undrafted,163,17.3,8.5,3.0,1.5,0.7,0.2,4000000,"24 years, 11 months, 11 days"
201942.0,DeMar DeRozan,Bulls,Guard,201.17,99.79,USA,1989-08-07,12,9,957,34.3,20.8,4.4,3.9,1.0,0.3,26000000,"32 years, 8 months, 21 days"
203473.0,Dewayne Dedmon,Heat,Center,213.36,111.13,USA,1989-08-12,8,Undrafted,477,17.8,6.4,5.9,0.7,0.5,0.8,5256308,"32 years, 8 months, 16 days"
1628978.0,Donte DiVincenzo,Kings,Guard,195.07,92.08,USA,1997-01-31,3,17,201,23.6,9.0,4.6,2.5,1.1,0.2,4675830,"25 years, 2 months, 24 days"
1628977.0,Hamidou Diallo,Pistons,Guard,198.12,91.63,USA,1998-07-31,3,45,207,18.9,8.4,3.9,1.1,0.8,0.3,5200000,"23 years, 8 months, 26 days"
203476.0,Gorgui Dieng,Hawks,Center,185.93,112.49,Senegal,1990-01-18,8,21,597,20.6,7.5,5.7,1.3,0.8,0.9,4000000,"32 years, 3 months, 9 days"
203915.0,Spencer Dinwiddie,Mavericks,Guard,201.17,97.52,USA,1993-04-06,7,38,387,26.4,13.0,3.0,5.0,0.7,0.3,17142857,"29 years, 0 months, 21 days"
1629029.0,Luka Doncic,Mavericks,Forward,204.22,104.33,Slovenia,1999-02-28,3,3,264,33.8,26.4,8.5,8.0,1.1,0.4,10174391,"23 years, 1 months, 27 days"
